Timestamp,Voltage (V),Current (A),Frequency (Hz),Power (kW),Power Factor,Battery Storage (%),Renewable Energy (%),Grid Reliability Index,Load Type,Fault Detection
2025-03-06 00:00:00,230.5,15.2,49.9,3.5,0.98,75,40,8.5,Residential,No
2025-03-06 00:30:00,229.8,14.8,50.1,3.3,0.97,78,42,8.7,Commercial,No
2025-03-06 01:00:00,231.2,16.1,49.8,3.8,0.99,72,38,8.3,Industrial,No
2025-03-06 01:30:00,228.9,13.5,50.0,3.0,0.96,80,45,8.9,Residential,No
2025-03-06 02:00:00,227.5,12.9,49.7,2.8,0.95,85,50,9.1,Commercial,No
2025-03-06 02:30:00,230.0,14.5,50.2,3.2,0.98,74,39,8.4,Industrial,No
2025-03-06 03:00:00,229.3,15.0,49.9,3.4,0.97,79,43,8.6,Residential,No
2025-03-06 03:30:00,231.8,16.3,50.1,3.9,0.99,71,37,8.2,Commercial,No
2025-03-06 04:00:00,230.6,14.7,49.8,3.3,0.98,77,41,8.5,Industrial,No
2025-03-06 04:30:00,228.4,13.8,50.0,3.1,0.96,82,48,9.0,Residential,No
2025-03-06 05:00:00,227.1,12.5,49.6,2.7,0.94,86,52,9.2,Commercial,Yes
2025-03-06 05:30:00,230.2,14.9,50.3,3.4,0.98,73,40,8.5,Industrial,No
2025-03-06 06:00:00,229.7,15.4,49.9,3.6,0.97,76,42,8.7,Residential,No
2025-03-06 06:30:00,231.5,16.7,50.1,4.0,0.99,70,35,8.1,Commercial,No
2025-03-06 07:00:00,230.9,14.8,49.7,3.2,0.98,75,41,8.6,Industrial,No
2025-03-06 07:30:00,228.7,13.9,50.0,3.1,0.96,81,47,9.0,Residential,No
2025-03-06 08:00:00,227.3,12.7,49.5,2.6,0.93,87,55,9.3,Commercial,Yes
2025-03-06 08:30:00,230.1,14.6,50.2,3.3,0.98,74,39,8.4,Industrial,No
2025-03-06 09:00:00,229.5,15.1,49.8,3.5,0.97,78,43,8.7,Residential,No
2025-03-06 09:30:00,231.3,16.5,50.0,3.9,0.99,69,34,8.0,Commercial,No
2025-03-06 10:00:00,230.7,14.9,49.7,3.3,0.98,76,42,8.6,Industrial,No
2025-03-06 10:30:00,228.5,14.0,50.0,3.1,0.96,80,46,8.9,Residential,No
2025-03-06 11:00:00,227.2,12.8,49.6,2.7,0.94,85,53,9.1,Commercial,Yes
2025-03-06 11:30:00,230.3,14.7,50.3,3.4,0.98,72,38,8.5,Industrial,No
2025-03-06 12:00:00,229.8,15.5,49.9,3.6,0.97,77,41,8.6,Residential,No
2025-03-06 12:30:00,231.6,16.8,50.1,4.0,0.99,68,33,7.9,Commercial,No
2025-03-06 13:00:00,230.8,14.8,49.7,3.2,0.98,74,40,8.5,Industrial,No
2025-03-06 13:30:00,228.6,14.1,50.0,3.1,0.96,79,44,8.8,Residential,No
2025-03-06 14:00:00,227.4,12.9,49.5,2.6,0.93,86,54,9.2,Commercial,Yes
2025-03-06 14:30:00,230.0,14.4,50.2,3.2,0.98,71,36,8.3,Industrial,No
2025-03-06 15:00:00,229.6,15.3,49.8,3.5,0.97,75,41,8.6,Residential,No
2025-03-06 15:30:00,231.4,16.6,50.0,3.9,0.99,67,32,7.8,Commercial,No
2025-03-06 16:00:00,230.5,14.6,49.7,3.3,0.98,73,39,8.4,Industrial,No
2025-03-06 16:30:00,228.3,13.7,50.0,3.0,0.96,78,43,8.7,Residential,No
2025-03-06 17:00:00,227.0,12.6,49.6,2.7,0.94,84,52,9.0,Commercial,Yes
2025-03-06 17:30:00,230.4,14.5,50.3,3.4,0.98,70,37,8.2,Industrial,No
2025-03-06 18:00:00,229.9,15.2,49.9,3.6,0.97,76,42,8.6,Residential,No
